OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-06713500,"CHERRY CREEK AT DENVER, CO.",Stream,,10190003,410,sq mi,,,39.74248685000000,-104.9999817000000,,1,minutes,Interpolated from MAP.,NAD83,5189.79,feet,.24,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,08,031,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06734900,"OLYMPUS TUNNEL AT LAKE ESTES, CO.",Stream,,10190006,,,,,40.37385556000000,-105.4738139000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,7474,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,069,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06736000,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",Stream,,10190006,85.1,sq mi,,,40.43285278000000,-105.3387250000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,6156,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,069,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06736700,"BIG THOMPSON R ABOVE DILLE TUNNEL, NR DRAKE, CO.",Stream,,10190006,305,sq mi,,,40.41500556000000,-105.2508111000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,5532,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,069,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06739500,"BUCKHORN CREEK NEAR MASONVILLE, CO",Stream,,10190006,136,sq mi,,,40.43463610000000,-105.1849389000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,5134,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,069,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06741510,"BIG THOMPSON RIVER AT LOVELAND, CO.",Stream,,10190006,531,sq mi,,,40.37873889000000,-105.0608167000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,4910,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,069,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06741520,"BIG THOMPSON RIVER BELOW LOVELAND, CO.",Stream,,10190006,545,sq mi,,,40.38322778000000,-105.0306972000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,4873,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,069,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06754000,"SOUTH PLATTE RIVER NEAR KERSEY, CO",Stream,,10190003,9661,sq mi,,,40.41192530000000,-104.5627366000000,24000,1,minutes,Interpolated from MAP.,NAD83,4578.02,feet,10,feet,Level or other surveyed method.,NAVD88,US,08,123,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07086000,"ARKANSAS RIVER AT GRANITE, CO.",Stream,,11020001,427,sq mi,,,39.04277116000000,-106.2658553000000,,5,seconds,Interpolated from MAP.,NAD83,8914.86,feet,15,feet,Unknown.,NGVD29,US,08,015,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07093700,"ARKANSAS RIVER NEAR WELLSVILLE, CO.",Stream,,11020001,1485,sq mi,,,38.50277496000000,-105.9397333000000,,5,seconds,Interpolated from MAP.,NAD83,6883.40,feet,15,feet,Unknown.,NGVD29,US,08,015,,,,,,,,,,NWIS
